CartCode,Total,Discount,CustomerSalary,CustomerAge,ListOfProduct
C61,63,0.21,1187,41,clothes accessories
C62,239,0.14,649,20,energy drink
C63,241,0.07,2188,31,soup>bug spray>shallot>protein bar>green tea
C64,186,0.14,1002,53,turkey>eggs
C65,158,0.11,1553,26,french fries
C66,105,0.17,1371,53,chocolate>milk
C67,179,0.19,1853,30,herb & pepper>whole wheat pasta>ground beef>mineral water>avocado>cider>whole wheat rice
C68,170,0.14,2181,25,cookies
C69,160,0.13,2137,32,shrimp>pasta
C70,156,0.22,1221,33,grated cheese>herb & pepper>tomatoes>tomato sauce>corn
C71,170,0.08,2191,51,burgers>escalope>shallot
C72,170,0.11,608,57,cookies
C73,149,0.19,1386,23,yogurt cake
C74,212,0.03,945,55,soup>eggs
C75,221,0.12,2266,50,cookies
C76,141,0.02,1234,23,mineral water>chocolate>low fat yogurt
C77,169,0.22,1432,39,eggs>strawberries
C78,92,0.01,1449,57,grated cheese>ground beef>spaghetti>mineral water>white wine
C79,190,0.04,1513,53,mint
C80,91,0.1,778,34,eggs>cake>french fries
C81,226,0.09,2489,36,burgers>spaghetti>milk>french fries>green tea
C82,65,0.01,2218,51,mineral water>energy bar>butter>french fries
C83,205,0.1,1090,30,burgers>grated cheese>herb & pepper>mineral water>eggs>cooking oil
C84,150,0.08,2309,39,energy bar
C85,201,0.23,831,56,energy bar>energy drink
C86,181,0.1,818,25,chocolate>frozen smoothie
C87,168,0.05,807,59,low fat yogurt
C88,98,0.24,2020,24,asparagus>salad
C89,170,0.17,1882,53,burgers>french fries>low fat yogurt>green tea
C90,239,0.04,2483,51,low fat yogurt
C91,193,0.16,735,25,burgers>herb & pepper>shrimp>pasta>spaghetti>mineral water>meatballs>olive oil>energy bar>french wine>eggs>salt
C92,249,0.03,2090,36,champagne>low fat yogurt
C93,87,0.05,541,32,champagne
C94,91,0.24,2209,33,burgers>almonds>eggs>french fries>cookies>green tea
C95,105,0.1,1955,33,ham>soup>escalope>body spray
C96,69,0.13,1108,52,turkey>ham>frozen vegetables>pepper>oil>extra dark chocolate>tea>magazines
C97,63,0.15,770,42,muffins>eggs>cookies
C98,186,0.18,608,42,cookies
C99,127,0.08,1881,27,frozen vegetables>whole wheat pasta>ground beef>spaghetti>chocolate>green tea
C100,119,0.14,2205,25,mineral water>barbecue sauce>chocolate
C101,216,0.07,2247,31,burgers>herb & pepper>energy bar>almonds>eggs>corn>mayonnaise>zucchini
C102,231,0.22,1557,28,turkey>burgers>ground beef>chocolate>soup>almonds>eggs>hot dogs>cottage cheese
C103,104,0.02,2244,58,ham>spaghetti>chocolate>eggs
C104,151,0.11,592,58,ground beef>energy bar>pet food>carrots>protein bar
C105,178,0.25,2174,38,ground beef>tomato sauce>spaghetti>mineral water>almonds>eggs
C106,110,0.04,806,39,mineral water>olive oil>gums>cooking oil
C107,67,0.04,1587,58,shrimp>pasta>mineral water>soup>avocado>milk>olive oil>green grapes>eggs>bug spray
C108,106,0.06,2154,57,shrimp>pasta>soup>cake>cooking oil>chicken>light mayo>low fat yogurt
C109,192,0.09,1840,23,spaghetti>mineral water>chocolate>french fries>champagne>escalope>mushroom cream sauce>fresh bread
C110,155,0,1619,48,shrimp>pasta>mineral water>eggs
C111,172,0.04,796,51,burgers>oil>tomato juice>fresh bread
C112,198,0.02,654,57,french wine>eggs>chocolate>low fat yogurt
C113,233,0.11,1144,59,chicken>eggs>french fries>pancakes
C114,56,0.05,981,21,turkey>herb & pepper>salmon>white wine>candy bars
C115,67,0.12,881,22,grated cheese>spaghetti>olive oil>eggs>french fries>green tea
C116,213,0.14,1599,29,mineral water>energy bar
C117,204,0.03,1258,52,eggs>french fries
C118,55,0.22,1859,20,burgers>tomatoes>mineral water>soup>milk>almonds>eggs>chocolate>tomato juice
C119,198,0.2,1237,34,muffins
C120,172,0.02,1062,58,pasta
C121,223,0.08,1027,33,tomatoes>spaghetti>frozen smoothie
C122,135,0.21,940,46,ground beef>spaghetti>milk
C123,53,0.02,1296,21,french fries
C124,209,0.17,1645,28,chocolate>milk
C125,136,0.19,1154,25,burgers>shrimp>pasta>frozen vegetables>spaghetti>mineral water>milk>eggs>chocolate>french fries>pancakes>low fat yogurt
C126,91,0.16,1562,55,ground beef>mineral water>antioxydant juice>protein bar
C127,176,0.2,651,33,grated cheese>whole wheat pasta>ground beef>spaghetti>cake>energy drink
C128,239,0.03,1431,58,grated cheese
C129,99,0.22,554,59,pancakes
C130,166,0.23,1044,49,frozen smoothie
C131,86,0.19,1528,26,carrots>green tea
C132,178,0.17,596,27,chocolate
C133,186,0.11,1760,32,turkey>burgers>chocolate>olive oil>eggs>cooking oil>corn
C134,190,0.05,2288,51,frozen vegetables>tomatoes>pepper>spaghetti>mineral water>pancakes>chicken>chili>tea>french fries>tomato juice>fresh bread
C135,163,0.18,632,50,cookies
C136,111,0.2,2292,51,ground beef
C137,171,0.16,761,31,turkey>eggs>chocolate>frozen smoothie>tomato juice
C138,96,0.1,602,36,frozen vegetables>cooking oil>mashed potato
C139,223,0,1131,58,frozen vegetables>ground beef>tomato sauce>mineral water>meatballs>olive oil>light cream>tomato juice
C140,112,0.12,517,56,red wine>spaghetti>mineral water>soup>milk>eggs>cake>gums>cooking oil>chocolate>frozen smoothie
C141,229,0.04,530,57,chocolate>tomatoes>spaghetti>mineral water>avocado>milk>olive oil>eggs>rice>french fries>brownies
C142,236,0.24,833,60,chocolate>shrimp>pasta>frozen vegetables>ground beef>mineral water>nonfat milk>eggs
C143,212,0.19,1582,52,turkey>shrimp>pasta>pepper>spaghetti>mineral water>eggs>chicken>french fries
C144,182,0.18,1977,37,cookies
C145,85,0,582,54,turkey>tomatoes>cake
C146,175,0.07,604,22,yams>mineral water>soup>milk>pancakes>whole wheat rice>barbecue sauce>carrots>chocolate>champagne
C147,223,0.15,1732,38,rice
C148,217,0.16,1658,55,chocolate>milk
C149,174,0.18,909,54,shrimp>pasta>frozen vegetables>water spray
C150,153,0.1,1048,45,burgers>mineral water>milk>eggs>whole wheat rice>mint
C151,72,0.17,2403,46,mineral water>vegetables mix>cake>frozen smoothie>brownies
C152,164,0.18,1630,36,cookies
C153,141,0.15,2159,58,shrimp>pasta>chicken>chocolate bread
C154,205,0.25,2396,22,shallot
C155,248,0.02,890,46,shrimp>pasta>spaghetti>eggs>hot dogs>green tea
C156,61,0.06,513,31,burgers
C157,128,0.03,2196,30,red wine>ground beef>spaghetti>mineral water>milk>olive oil>strong cheese>light cream>cooking oil
C158,101,0.04,920,53,burgers>grated cheese>spaghetti>avocado>milk>oil>french fries
C159,155,0.14,2222,42,herb & pepper>whole wheat pasta>ground beef>mineral water>olive oil
C160,248,0.11,806,27,shrimp>pasta>yams>milk>chocolate
C161,67,0.01,2108,56,butter>green tea
C162,70,0.23,1938,48,light mayo
C163,162,0.1,863,45,low fat yogurt
C164,216,0.2,1691,43,herb & pepper>shrimp>pasta>spaghetti>milk
C165,126,0.18,1022,59,burgers>eggs
C166,63,0.17,1664,48,turkey>herb & pepper>ground beef>soup>avocado>milk>black tea>eggs>barbecue sauce>carrots>cookies>tomato juice>fresh bread
C167,200,0.13,520,50,cookies
C168,83,0.22,1870,32,escalope
C169,149,0.19,650,20,pepper>french fries>strawberries>pancakes>low fat yogurt
C170,174,0.22,2064,28,frozen vegetables>yams>chicken>honey>light mayo
C171,177,0.09,1823,24,chocolate>champagne
C172,163,0.23,1340,57,herb & pepper>honey>cake>rice>protein bar
C173,67,0.23,1840,60,burgers>chocolate>frozen vegetables>ground beef>mineral water>milk>light mayo>asparagus
C174,228,0.11,1083,58,chocolate>mineral water>corn>cottage cheese>green tea
C175,70,0.1,1171,39,muffins
C176,63,0,1677,34,ham>french wine>escalope
C177,205,0.05,846,20,spaghetti>milk>whole wheat rice>mint green tea
C178,139,0.11,1238,31,chocolate>body spray
C179,224,0.02,1897,57,frozen vegetables>french fries>hot dogs
C180,178,0.12,1616,45,candy bars
C181,75,0.12,1214,26,burgers>shrimp>pasta>milk>green tea>french fries>cookies>white wine
C182,225,0.02,2204,58,parmesan cheese>ground beef
C183,231,0.16,1463,31,pancakes>whole wheat rice>candy bars
C184,133,0.05,1859,58,eggs>eggplant>cookies
C185,242,0.15,1129,57,frozen vegetables>mineral water
C186,97,0.14,992,38,chocolate
C187,224,0.1,1295,31,turkey>spaghetti>milk>whole wheat rice>chocolate
C188,243,0.12,1564,31,whole wheat pasta>ground beef>spaghetti>soup>meatballs>chicken>blueberries>cooking oil>champagne>yogurt cake>protein bar
C189,170,0.18,1563,39,cooking oil>tomato juice
C190,206,0.12,1460,25,frozen vegetables>milk>eggs>french fries>green tea
C191,234,0.12,987,46,fresh tuna>spaghetti>olive oil>french wine>eggs>french fries>champagne>pancakes>light mayo
C192,157,0.04,1709,24,red wine>honey>hot dogs
C193,149,0.23,672,38,milk>bacon>eggs>french fries>fresh bread
C194,81,0.05,946,36,french fries>yogurt cake
C195,169,0.09,2493,60,milk
C196,226,0.02,677,42,french fries
C197,217,0.08,1500,49,chocolate
C198,110,0.18,524,39,burgers>ham>red wine
C199,241,0.2,1925,24,shrimp>pasta>tomatoes>energy bar>french wine>antioxydant juice>french fries>frozen smoothie>brownies
C200,216,0.08,1509,52,green tea
C201,197,0.19,2469,54,low fat yogurt
C202,227,0.1,2113,51,turkey>spaghetti>mineral water>soup>spinach>soda>energy drink>salt
C203,163,0.18,500,55,turkey>eggs
C204,95,0.14,1124,33,bug spray>hot dogs
C205,100,0.18,2392,55,oil
C206,84,0.2,1926,46,soup>energy bar>chicken>eggs>cake>french fries>body spray>strawberries
C207,132,0.07,2370,46,spaghetti>chocolate>yogurt cake
C208,141,0.07,2109,32,turkey>mineral water>meatballs
C209,163,0.11,597,35,ground beef>mineral water>chocolate>fromage blanc>bacon>hot dogs
C210,132,0.24,670,33,frozen vegetables>mineral water>vegetables mix>escalope
C211,108,0,1683,53,herb & pepper>red wine>tomatoes
C212,102,0.08,1767,43,whole wheat pasta>olive oil>cereals>brownies>green tea
C213,146,0.03,1711,42,cookies
C214,140,0.19,1809,43,olive oil>cookies>mushroom cream sauce
C215,115,0.03,1304,33,ground beef>pancakes>cooking oil>gluten free bar>light mayo
C216,185,0.04,1198,54,mineral water>french fries
C217,238,0.03,1098,41,herb & pepper
C218,67,0.16,909,43,salmon
C219,108,0.17,1644,51,eggs>escalope
C220,249,0.1,1138,29,mineral water>tomato juice
C221,158,0.01,635,52,mineral water
C222,137,0.13,1232,41,shrimp>mineral water>soup>black tea
C223,50,0.24,747,32,cake>frozen smoothie
C224,173,0.04,1002,34,turkey>burgers>grated cheese>tomatoes>chocolate>fromage blanc>honey>whole wheat rice
C225,204,0.21,2284,49,frozen vegetables>ground beef>mineral water>olive oil>pancakes
C226,138,0.14,1086,44,turkey>burgers>ground beef>milk>olive oil>cake>fresh bread
C227,61,0.01,536,27,whole wheat pasta>ground beef>spaghetti>yams>mineral water>soup>chutney>cereals>energy drink>protein bar
C228,136,0.03,2274,27,eggs>whole wheat rice>cake>green tea>escalope
C229,65,0.16,1763,39,ground beef>yams>soup>avocado>salmon>green tea
C230,144,0.11,1176,22,milk
C231,196,0.06,707,20,spaghetti>chocolate
C232,176,0.09,1716,48,whole wheat pasta>honey
C233,190,0.19,1275,51,whole wheat pasta>green tea
C234,153,0,695,32,spaghetti>meatballs>vegetables mix>chocolate
C235,167,0.03,1746,21,eggs>low fat yogurt
C236,109,0.16,2225,56,fresh tuna>shrimp>pasta>mineral water>olive oil>eggs>cake>brownies>tomato juice
C237,215,0,2158,29,mineral water>green grapes>hot dogs>fresh bread
C238,56,0.12,1308,34,frozen vegetables>meatballs>eggs>chocolate
C239,236,0.01,1081,32,chocolate
C240,112,0.02,1304,43,meatballs>milk
C241,203,0.22,1426,35,low fat yogurt
C242,115,0.15,2070,25,green tea
C243,165,0.23,1227,32,escalope>pasta
C244,191,0.24,717,49,pepper>chocolate>olive oil>french wine>salmon>rice>light mayo>fresh bread>magazines
C245,68,0.04,2162,29,red wine>french wine>vegetables mix>rice>clothes accessories>hot dogs>green tea
C246,175,0.2,2055,42,burgers>dessert wine>spaghetti>chicken>cake>protein bar>green tea
C247,186,0.25,1398,38,french wine>cake>fresh bread
C248,55,0.11,833,49,burgers>frozen vegetables>flax seed>eggs
C249,149,0.01,1376,23,red wine
C250,125,0.06,1141,58,pepper>mineral water>energy bar>green grapes
C251,249,0.13,563,31,milk>eggs>cake>chocolate>french fries>green tea
C252,201,0.13,2027,45,french fries
C253,209,0.05,562,58,almonds
C254,53,0.08,1604,21,burgers>mineral water>green tea
C255,124,0.04,2098,46,milk>pancakes
C256,138,0.13,503,44,pancakes>eggs>salt>tomato juice
C257,139,0.08,757,49,mineral water
C258,182,0.05,2477,36,ham>spaghetti>mineral water>olive oil
C259,108,0.01,1463,25,salt>tomato juice>fresh bread
C260,201,0.02,843,36,spaghetti>mushroom cream sauce
C261,97,0.24,782,31,spaghetti>mineral water>eggs>pet food
C262,205,0.07,1047,43,frozen vegetables>spaghetti
C263,121,0.05,983,34,energy drink
C264,102,0.13,1925,25,muffins
C265,244,0.11,1293,48,turkey>milk
C266,132,0.04,904,28,cookies
C267,83,0.1,1308,47,chocolate
C268,179,0.21,2035,30,spaghetti>mineral water>eggs>cooking oil>chocolate>escalope
C269,96,0.07,915,49,shrimp>frozen vegetables>pepper>spaghetti>green tea
C270,239,0.16,1350,35,burgers>fresh tuna>red wine>mineral water>french fries>hand protein bar>low fat yogurt
C271,198,0.12,1628,23,pancakes>eggs>energy drink>fresh bread
C272,183,0.22,827,51,strong cheese>salmon>green tea>french fries>frozen smoothie>hot dogs
C273,183,0.01,1519,24,grated cheese>shrimp>pasta>tomatoes>milk>frozen smoothie>sandwich
C274,72,0.16,1297,38,herb & pepper>whole wheat pasta>olive oil>pancakes>eggs
C275,111,0.16,1678,38,spaghetti>antioxydant juice
C276,65,0.05,1955,39,chocolate>milk>almonds>eggs>strawberries>white wine
C277,111,0.02,1933,51,french fries>strawberries
C278,67,0,1414,28,mineral water
C279,99,0.12,1697,21,eggs
C280,148,0.16,1104,57,escalope
C281,249,0.08,2053,45,cake
C282,198,0.21,2275,60,whole wheat pasta>antioxydant juice>body spray>green tea
C283,238,0.09,1380,25,mineral water>oil>frozen smoothie
C284,216,0.18,2381,39,french fries>champagne
C285,235,0.22,2298,46,chocolate>french fries
C286,110,0.07,1739,51,frozen vegetables>spaghetti>eggs
C287,235,0.25,756,35,hot dogs
C288,174,0.11,1504,56,chocolate>cookies
C289,122,0.03,1383,23,pancakes
C290,193,0.17,1599,32,shrimp>butter>chicken>salmon
C291,180,0.08,1315,33,chocolate>cookies>babies food
C292,157,0,1973,22,pepper>spaghetti>cake>chocolate>french fries>fresh bread
C293,113,0.02,594,25,avocado>oil>cereals>french fries
C294,223,0.11,1224,48,herb & pepper>spaghetti>mineral water>spinach>eggs>oil>cooking oil>green tea>shampoo>tomato juice>low fat yogurt
C295,194,0.03,2246,29,herb & pepper>frozen vegetables>ground beef>pepper>spaghetti>mint green tea>french fries
C296,120,0.02,2053,27,french fries
C297,89,0.23,1798,42,green tea>tomato juice
C298,185,0.02,534,42,eggs>whole wheat rice>chocolate
C299,219,0.23,1414,23,grated cheese>herb & pepper>red wine>spaghetti>mineral water>salmon>eggs>cooking oil>green tea
C300,75,0.15,1027,29,french fries>cookies>shallot>tomato juice>fresh bread>low fat yogurt
C301,105,0.08,1411,40,burgers>fresh tuna>spaghetti>muffins>honey
C302,210,0.22,1162,40,herb & pepper>ground beef>spaghetti>eggs>chicken
C303,174,0.2,2382,59,grated cheese>muffins>tomato juice>mayonnaise
C304,117,0.17,2097,42,whole wheat pasta>yams>mineral water>muffins>frozen smoothie>hot dogs>energy drink
C305,173,0.14,598,25,burgers>spaghetti>soup>milk>olive oil>salmon>eggs>blueberries
C306,224,0.21,1594,31,chocolate>champagne>magazines
C307,111,0.24,1072,60,frozen vegetables>spaghetti>yams>mineral water>french wine>green grapes>rice>chocolate
C308,224,0.04,1966,51,tomato sauce>chocolate
C309,189,0.05,2072,56,milk>eggs
C310,182,0.21,1916,34,pet food
C311,155,0.23,818,59,yogurt cake
C312,111,0.2,2201,45,green tea
C313,208,0.14,1450,55,escalope>pasta
C314,153,0.22,1655,27,herb & pepper>ground beef
C315,248,0.16,1364,29,mineral water>honey>brownies
C316,137,0.11,558,46,turkey>eggs>cake>energy drink
C317,219,0.12,2149,56,turkey>burgers>dessert wine>ground beef>soup>salmon>eggs>gums>tomato juice>candy bars
C318,96,0.02,2057,32,spaghetti>mineral water>chicken
C319,248,0,1953,48,turkey>ground beef>carrots>french fries>melons
C320,76,0.09,1788,37,mineral water>eggs>low fat yogurt
C321,230,0.04,939,27,turkey>cooking oil>shampoo
C322,187,0.18,2388,43,spaghetti>hot dogs
C323,164,0.15,1354,56,chocolate>green tea
C324,221,0.22,1146,56,grated cheese>pepper>mineral water>chocolate>eggs>cake>mashed potato>tomato juice
C325,170,0.11,1407,44,chocolate
C326,121,0.03,564,33,spaghetti>olive oil>strong cheese>pancakes
C327,110,0.21,2496,57,red wine>mineral water>soup>rice>cookies
C328,64,0.01,2051,57,red wine>shrimp>spaghetti
C329,110,0.17,617,33,green tea
C330,111,0.24,1749,38,mineral water>chicken>french fries>frozen smoothie
C331,50,0.21,1536,44,muffins
C332,244,0.11,2195,41,cake>chocolate
C333,207,0.08,963,36,fresh tuna>tomatoes>mineral water>soup>avocado>meatballs>olive oil
C334,175,0.25,2301,20,turkey>french fries
C335,192,0.11,1218,33,burgers>turkey>herb & pepper>ground beef>pancakes>eggs>light cream>rice>champagne>fresh bread
C336,108,0.17,504,41,escalope
C337,137,0.24,901,50,chocolate>escalope>fresh bread
C338,67,0.06,1925,36,ham>spaghetti>french wine>vegetables mix>chocolate>french fries
C339,200,0.05,865,53,avocado>light mayo
C340,172,0.03,891,44,spaghetti>yams>butter>chocolate
C341,246,0.12,589,54,energy bar>eggs>french fries
C342,170,0.16,2444,31,fresh tuna>barbecue sauce>eggplant
C343,177,0.01,568,21,energy drink
C344,115,0.22,1633,28,whole wheat rice>french fries>hot dogs>green tea
C345,167,0.18,872,26,mineral water>chicken>green tea
C346,50,0.1,1088,54,eggs>cake>mushroom cream sauce
C347,68,0.12,2087,45,escalope
C348,115,0.1,2322,33,antioxydant juice>escalope
C349,116,0.17,2394,26,shrimp>spaghetti>french fries
C350,226,0.16,2125,41,grated cheese>spaghetti>salmon>tomato juice
C351,182,0.1,2498,55,spaghetti>green tea
C352,174,0.12,940,60,champagne>protein bar
C353,188,0.15,1167,33,mineral water>avocado>chocolate
C354,182,0.22,1970,49,tomatoes>champagne>green tea
C355,105,0.19,2139,42,chicken>french fries>escalope
C356,62,0.01,1017,43,frozen vegetables>tomatoes>eggs>green tea>frozen smoothie>light mayo
C357,95,0.1,2425,57,ground beef>chicken>cider>green grapes>honey>chocolate>french fries>champagne>frozen smoothie>escalope
C358,80,0.08,1697,60,french fries>champagne
C359,127,0.18,514,52,mineral water>soup
C360,128,0.1,715,51,frozen vegetables>spaghetti>milk>chocolate>babies food
C361,230,0.06,1918,44,honey>whole wheat rice
C362,149,0.2,1896,60,whole wheat rice>chicken>tomato juice
C363,247,0.01,1621,35,pancakes
C364,229,0.2,938,48,green tea>protein bar>tomato juice>candy bars
C365,55,0.2,2249,46,french fries
C366,168,0.19,1140,20,mineral water
C367,170,0.1,2016,35,escalope
C368,152,0.1,2280,39,grated cheese>herb & pepper>whole wheat pasta>yams>mineral water>bacon>nonfat milk>spinach
C369,236,0.05,2418,46,spaghetti>milk
C370,166,0.23,613,20,milk>chocolate>white wine
C371,89,0.03,1434,26,sandwich
C372,206,0.18,2350,23,chocolate>light mayo
C373,80,0.11,1661,23,shrimp>whole wheat pasta>spaghetti>meatballs>chicken>frozen smoothie>tomato juice
C374,192,0.23,2375,33,red wine>ground beef>spaghetti>mineral water>eggs
C375,199,0.06,1350,42,yams>melons
C376,71,0.01,1063,35,spaghetti>cooking oil
C377,244,0.17,688,33,french fries
C378,228,0.19,1543,54,mineral water>milk>spinach>cooking oil>chocolate>frozen smoothie>hot dogs
C379,57,0.09,2158,33,tomato sauce>milk
C380,126,0.05,1403,48,shrimp>cider>eggs>french fries
C381,56,0.14,521,54,champagne
C382,63,0.15,874,36,salad
C383,181,0.1,1976,31,french fries
C384,223,0.1,1255,49,frozen vegetables>mineral water>energy bar>honey>rice>green tea
C385,164,0.07,656,48,french fries>salad
C386,200,0.16,1315,39,honey>chocolate>french fries>brownies
C387,94,0.11,1754,21,green tea>strawberries>gluten free bar
C388,63,0.18,1824,57,frozen vegetables>ground beef>mineral water>salmon>honey>extra dark chocolate>green tea>mushroom cream sauce>gluten free bar
C389,69,0.08,2204,30,grated cheese>tomatoes>mineral water>meatballs
C390,243,0.2,1743,59,shrimp>chocolate>water spray
C391,123,0.2,1920,31,turkey
C392,109,0.02,2181,58,turkey>eggs
C393,126,0.04,2312,50,turkey>frozen vegetables>tomatoes>soup>butter>french wine>pancakes>eggs>tomato juice>fresh bread>green tea
C394,80,0.23,800,55,spaghetti
C395,121,0.08,1449,37,milk>frozen smoothie>low fat yogurt
C396,229,0.23,1317,33,burgers>mineral water>milk>whole wheat rice>cereals>chocolate>french fries
C397,58,0.05,1116,52,mineral water
C398,78,0.04,2036,24,tomatoes>mineral water>soup>cake>chocolate
C399,167,0.03,1213,45,mineral water
C400,189,0.24,1288,23,ground beef>spaghetti
C401,145,0.12,1162,25,pepper>frozen smoothie
C402,249,0.24,950,52,yogurt cake
C403,249,0.08,2272,47,red wine>pancakes
C404,112,0.06,1835,26,candy bars
C405,185,0.14,995,47,eggs>french fries>low fat yogurt
C406,134,0.22,744,42,cookies
C407,203,0.23,1558,54,cookies
C408,217,0.22,2062,34,spaghetti>soup>vegetables mix>spinach>french fries>escalope>cauliflower>toothpaste
C409,123,0.21,1170,35,cookies
C410,124,0.11,741,26,soup>olive oil>eggs>soda>corn
C411,99,0.08,1130,54,chocolate>frozen smoothie>low fat yogurt
C412,79,0.21,508,27,spaghetti>mineral water>milk>pancakes>chocolate>french fries
C413,129,0.05,1413,45,mineral water
C414,205,0.18,1531,22,herb & pepper>frozen vegetables>tomato sauce>mineral water>soup>milk>olive oil>almonds
C415,212,0.04,1596,39,burgers>eggs
C416,248,0.22,1860,40,french fries
C417,183,0.02,684,32,frozen smoothie>cottage cheese
C418,170,0.15,829,52,tomatoes>mineral water>chocolate>light mayo
C419,73,0.02,1856,35,salmon>escalope>shallot>strawberries>fresh bread>low fat yogurt
C420,235,0.06,746,42,energy bar
C421,189,0.04,850,57,red wine>ground beef>spaghetti>pancakes>blueberries>oil>cooking oil>tomato juice
C422,76,0.13,1610,53,ground beef>spaghetti>mineral water>milk>frozen smoothie>champagne
C423,162,0.03,2227,44,cookies
C424,90,0.2,2306,58,salmon>escalope
C425,173,0.11,1855,23,cookies
C426,189,0.14,1156,52,low fat yogurt
C427,177,0.1,1638,41,eggs
C428,220,0.12,1592,46,red wine>butter>hot dogs
C429,176,0.18,2034,57,tomatoes>mineral water>soup>mashed potato
C430,134,0.15,1590,35,cookies
C431,64,0.11,1119,29,parmesan cheese>ground beef>salmon>pancakes>champagne
C432,94,0.22,2107,38,ground beef>yams>chocolate>olive oil>eggs
C433,199,0.14,1228,39,shrimp>salmon>eggs>cookies>hot dogs
C434,134,0.09,2062,42,magazines>mint
C435,247,0.07,2312,53,turkey>mineral water>eggs>cooking oil>extra dark chocolate>escalope
C436,113,0.18,1154,35,mineral water>mushroom cream sauce
C437,222,0.23,2109,43,grated cheese>frozen vegetables>mineral water>soup>milk>french wine
C438,144,0.07,2059,34,chocolate>cake
C439,193,0.1,2315,46,burgers>salt>white wine
C440,66,0.23,1545,31,energy drink
