FreeTime,StudyTime,Score,Sex,Result
2.8,0.3,3.5,T,0
3.5,5,5,M,1
4.8,7.5,3.3,F,0
7.8,5.3,2.5,L,1
3.3,8.8,5,G,1
4.8,8.8,0,B,1
4.5,2,1.8,T,1
8,1.3,2.8,M,1
2.3,0.5,1,F,1
0.5,0.5,1,L,1
6.3,7,4,G,0
3.5,9.8,2.5,B,1
5,8.3,3.5,T,0
6.3,5.8,1.5,M,0
8.3,7.8,4.3,F,0
3.5,2,5,L,0
1.3,4.3,1,G,0
6.3,8,0.8,B,0
7.8,0.8,1.8,T,1
1.8,6,2.8,M,0
1,7.5,0,F,1
8,2.5,1.3,L,0
6.3,4.8,3,G,1
10,9.8,4,B,0
1.5,6.5,0,T,1
5.5,10,0.3,M,0
4.3,1,3.5,F,1
2.3,4,3.8,L,1
1.5,1.3,0.5,G,1
7.5,4.3,2.3,B,1
5,6.8,1,T,1
2,8.8,0.8,M,1
8,4,0,F,1
5.5,8.5,3,L,0
7.5,1.8,0.8,G,1
2,4.5,2.5,B,0
0.3,1,4,T,1
1,4,2,M,0
4.3,4,1,F,1
8.8,6.8,5,L,0
8,9.5,4.3,G,1
7.8,1.5,0.8,B,0
10,7,1.3,T,1
6,10,3.5,M,0
2.5,8.3,4.8,F,1
0.5,9,4.3,L,1
5.8,5.3,0.8,G,1
9.3,2.8,1,B,1
4,2.8,3,T,1
8,0,2.3,M,1
9.3,5.5,1.3,F,1
3,6.8,0,L,0
3.5,0.5,2.5,G,1
6.5,5.5,1.3,B,0
2.8,1.3,2.3,T,0
0.8,8,4.3,M,0
1,6,1.8,F,0
8.8,3,4.8,L,0
3.8,10,2.5,G,0
3,1.8,3.3,B,1
8.5,2,1,T,0
2.5,5.8,0,M,1
1.5,9.5,5,F,0
0.5,7,2.8,L,1
2,0,4.3,G,0
2,7.8,3.5,B,1
4.5,8.3,3.5,T,0
8,2.5,4,M,1
4,4,5,F,1
6.8,9,0.8,L,1
8.8,8,2,G,1
1.3,4.3,2,B,1
1.3,9.5,4.3,T,1
2.5,1.3,4.5,M,1
4.3,10,4.3,F,0
7.8,3,4.3,L,1
4,4.5,4.5,G,1
0.5,9,1.3,B,1
1,3.5,4,T,1
5,8.8,4,M,1
9,7.3,4.3,F,0
7.5,8.3,0,L,0
7.3,6.3,1.5,G,0
8.3,0.3,0.8,B,0
8,0.3,1,T,1
9,0.8,1.8,M,1
1.5,5.8,4.5,F,0
6.3,2.5,3.5,L,1
8.3,5.8,4.8,G,0
9.5,6.5,1.8,M,0
8,1,0.8,F,0
3.8,8.5,2.5,L,0
7.5,9.8,2.5,G,0
9,9,5,B,0
4.5,0,2,T,0
0.3,5.8,2.8,M,1
5,5.3,1.8,F,0
1.8,5.8,2.3,L,1
1.8,7.5,2.3,G,0
9.3,8.3,3.5,B,1
9,5,0.5,T,0
3.8,2.3,0,M,1
1.3,0,2,F,0
3.8,7.3,0,L,1
10,2.5,0.3,G,1
3,6.8,3.5,B,1
8.5,5.3,1.8,T,1
4.3,4,4.3,M,1
2,10,1,F,1
7.8,9.8,3.5,L,1
6,9.8,4,G,0
6.8,3.3,2,B,1
6.5,7.8,4,T,0
2.8,0.8,0.3,M,0
9.3,3.8,0.3,F,0
7.5,9,1,L,0
7.3,1.3,0.3,G,0
10,1.8,3.8,B,0
9.3,9.3,4.3,T,1
3.3,1.5,3,M,0
0,4.8,4,F,1
1.5,4.8,0,L,0
9.8,2,2,G,1
3,5.8,1.8,B,0
5.3,7,1.3,T,1
2,0.3,5,M,0
3.3,9,4.8,F,1
10,5.8,3.3,L,1
4.3,0.3,2.5,G,1
7.5,8.5,1.5,B,1
9.3,0.5,4.5,T,1
1,5.5,1.5,M,1
6.8,1.5,0.5,F,1
6.3,8.8,0.8,L,0
7,9.3,0,G,1
7.5,2.8,0.5,B,0
9.3,6.8,2.3,T,1
9.5,4.5,4.8,M,0
1.3,5,4.8,F,1
9.3,7.5,0.8,L,0
3.5,4.8,2.5,G,1
9.8,1.5,2,B,0
6.8,7.8,2.3,T,1
1,4.8,0.3,M,0
10,9.5,4.5,F,1
8.8,2.8,1.3,L,1
0.3,6.5,4.5,G,1
8,6.3,1.8,B,1
7.3,5,3.3,T,1
2.3,3.5,3,M,1
5,3,2.8,F,1
8.3,9.5,3.3,L,0
6.8,2.3,5,G,1
7.8,8.5,2,B,0
8.5,8.5,4.3,T,0
3,1.5,3.3,M,0
2.3,6.3,4.3,F,0
4.3,3,5,L,0
0,1.3,0.3,G,0
6.8,6,4.3,B,1
7.8,9.5,3,T,0
5.3,8,1.3,M,1
4.5,3.3,5,F,0
5.8,9,2.3,L,1
9.8,8,0,G,0
1.5,7,0.8,B,1
7,3.8,3.8,T,0
5.3,2.3,5,M,1
2.5,4.8,4,F,1
9,9.8,4,L,1
3.5,8.8,2.5,G,1
0.8,7.8,0.8,B,1
2.8,8.3,2.3,T,1
4.5,1.3,0,M,1
4,6.3,0.3,F,0
8,4.5,0.5,L,1
0.8,7.3,0.8,G,1
5.8,7.5,4.5,B,1
7.3,4.5,1.5,T,1
2.3,0,1.8,M,1
8,7.8,1.3,F,0
1.8,9,3.5,L,0
7.3,8.3,2,G,0
9,6,3.3,B,0
8.8,9.8,2.5,T,1
1,7.5,2.5,M,1
7.3,7.3,0.5,F,0
0.3,10,0.3,L,1
4.8,8.8,0.3,G,0
2,6.3,1.3,M,0
1.3,1.8,3.8,F,0
4.3,4,3,L,0
3,5.8,4.3,G,0
4.5,7.5,4.8,B,0
3.5,3,3.5,T,0
4.5,6.3,2.8,M,1
4.8,10,4,F,0
0.5,2.5,5,L,1
3,6,3.8,G,0
8.8,9.3,0.8,B,1
4.8,10,1.3,T,0
2.5,7.8,1.5,M,1
3.8,7,4,F,0
9.3,7.3,2.8,L,1
1.3,5.5,1.5,G,1
2.8,8.3,2.8,B,1
0.3,1,2.8,T,1
2.5,5,4.5,M,1
5.5,7.8,3.3,F,1
0.5,3.5,1.5,L,1
4.8,9.3,2,G,0
0.3,4.3,2.5,B,1
9.3,6,3.5,T,0
2.3,0,4.5,M,0
0,5,3.8,F,0
5.8,3.5,1.8,L,0
1.3,1.8,2,G,0
2.5,6,3.3,B,0
3,3.3,3,T,1
5.8,9.8,4,M,0
2.3,1,3.3,F,1
8.8,4.3,4.8,L,0
5,1.5,0.5,G,1
6.5,4.8,4.5,B,0
3.5,6.8,0.8,T,1
2.5,4,1.3,M,0
8,0.5,2,F,1
9.3,6.3,2.5,L,1
3.3,5.5,0,G,1
7.3,4.5,4.5,B,1
9,8.5,0.3,T,1
5,5.8,2.5,M,1
9.3,3.3,2.5,F,1
2.3,3.5,0.3,L,0
3,6.5,2.5,G,1
9,5.8,1.5,B,0
4,3.5,0,T,1
9.3,2.3,3.3,M,0
4.5,6.8,2,F,1
2.3,0,3.8,L,0
2.8,8.8,1.8,G,1
4.3,2,2.5,B,0
3.5,0.3,4.5,T,1
7,9.3,4.5,M,0
0.5,3.5,2.3,F,1
1.3,2.3,1.3,L,1
8.8,0.5,0,G,1
8,0.3,4.8,B,1
8,6.8,3,T,1
9.3,6.5,2,M,1
0.5,9.8,2,F,1
9.5,8.3,5,L,0
0.5,8,0.8,G,1
8.5,3.8,1.3,B,0
2,5,0.3,T,0
5.8,8.5,0.3,M,0
2,3,1.8,F,0
6.8,5,1.3,L,0
3.8,5,0,G,0
7.5,6.3,0.5,B,1
8.3,3,4.8,T,0
4.5,2.3,4.8,M,1
10,5,0.3,F,0
6.3,1.5,1.3,L,1
8.5,3.3,2.5,G,0
6.3,4,2.3,B,1
9.3,0.8,1.8,T,0
6.8,7,4,M,1
4.3,3,4.3,F,1
5.8,8.8,0.8,L,1
8.5,4.8,2.8,G,1
3.5,0.5,4.3,B,1
9,6,2.5,T,1
4.8,8.5,4,M,1
7,9.8,2,F,0
2,9.8,5,L,1
0.5,4.3,3.5,G,1
10,4.8,5,B,1
7,4.5,3.3,T,1
2.3,1.3,5,M,1
6.3,3,5,F,0
5.3,4.5,5,L,0
9,6,1.3,G,0
8.8,10,0,B,0
10,5.3,2.5,T,1
3.5,2,3,M,1
9.8,1,0.8,F,0
3,8.3,0.8,L,1
7.3,5.5,2.3,G,0
3,0.5,2,M,0
1.8,6.3,0.3,F,0
4.3,8,1,L,0
0.5,6.5,0.3,G,0
7.8,3,3.3,B,0
9.5,6.5,2.3,T,0
5,1.5,0,M,1
7,0.8,0.3,F,0
1.5,2.3,2.8,L,1
7.3,8,3.8,G,0
3.5,6.3,0.3,B,1
3.3,10,1,T,0
0.5,8.3,0.5,M,1
7,2.8,3.8,F,0
9,10,2,L,1
4,8.8,4.5,G,1
3,1.8,4.5,B,1
9.3,6.8,0.8,T,1
7.8,2.8,2,M,1
4,6.5,1.3,F,1
1.5,5.8,5,L,1
7.3,1.3,2.8,G,0
6.8,7.5,3.8,B,1
9.8,6.3,2.3,T,0
5.3,7.3,0.5,M,0
8,2.3,0.8,F,0
2.3,4.5,4,L,0
7.5,0,2.8,G,0
1,4.8,2.8,B,0
7.5,9.5,4,T,1
9,1,4,M,0
0.8,4.8,1.5,F,1
5.3,0.5,1.5,L,0
0.8,2.3,2.5,G,1
0.3,8.8,1.8,B,0
7,7.3,3.5,T,1
9.3,3,3.3,M,0
0.8,0.8,4,F,1
9.3,2.5,2.8,L,1
6.3,3.8,4,G,1
7,8.5,3.5,B,1
4.8,6.8,3.5,T,1
2.5,6.3,2.8,M,1
1.8,9.5,3.5,F,1
1.3,2,4.5,L,0
2,8.5,2.5,G,1
9.3,5,1.5,B,0
3,5.5,0.8,T,1
2.3,3,4.5,M,0
2,5,4.8,F,1
0,5.5,3,L,0
2.3,4.5,4.3,G,1
2.3,5.5,4.8,B,0
6.5,10,3,T,1
8.8,3.8,3.3,M,0
6.5,9.3,1.8,F,1
8.3,8.5,4.3,L,1
5.3,1.8,2.5,G,1
1,2.8,0,B,1
9.8,6,2.8,T,1
10,1.3,3.3,M,1
7.3,7.5,1.3,F,1
10,2.3,3,L,0
5.3,6.8,3.8,G,1
6.3,1.8,0.5,B,0
9.5,6.8,0.8,T,0
0,6.8,2.8,M,0
7.8,8.8,5,F,0
7.3,4.3,4.8,L,0
5.8,2,1,G,0
10,8.8,4,B,1
7.8,2.3,5,T,0
9.8,5.5,3.8,M,1
5.8,9,5,F,0
1.8,0.3,4.3,L,1
4.8,5.8,1.3,G,0
9.5,10,3.8,B,1
7,2.3,2,T,0
2.5,1.5,5,M,1
7,3,1,F,1
9.8,1.5,4,L,1
5.3,0.8,4.8,G,1
4.5,1.5,2.8,B,1
6.5,4.8,2,T,1
2.3,5.3,4.3,M,1
9.3,7.3,4.8,F,0
8.5,4.5,3.3,L,1
10,9,4.3,G,1
8.8,8,2.3,B,1
5,9.5,0.3,T,1
8,0.3,2.5,M,1
6.5,5,0,F,0
4.8,3.8,4.5,L,0
5,0.8,2.5,G,0
8.3,7.3,1.5,B,0
1.8,9,2.5,T,1
4.3,5.5,0,M,1
0.8,4.5,1.8,F,0
0,0.8,3.3,L,1
1.5,7.8,1.8,G,0
