CartCode,Total,Discount,CustomerSalary,CustomerAge,Sex,MaritalStatus,IntervalTime,UseCreditCard,ListOfProduct
C60,104,0.12,1111,50,F,0,I3,NO,spaghetti
C61,190,0.18,1423,36,M,4,I4,YES,clothes accessories
C62,194,0.24,1380,48,M,2,I3,YES,energy drink
C63,170,0.06,748,52,F,3,I1,YES,soup>bug spray>shallot>protein bar>green tea
C64,139,0.19,718,47,F,1,I2,YES,turkey>eggs
C65,111,0.14,1504,59,M,2,I2,NO,french fries
C66,117,0.03,1050,43,M,0,I1,YES,chocolate>milk
C67,50,0.13,1456,40,F,4,I4,YES,herb & pepper>whole wheat pasta>ground beef>mineral water>avocado>cider>whole wheat rice
C68,122,0.13,2400,29,F,0,I1,YES,cookies
C69,57,0.05,1618,48,M,3,I3,NO,shrimp>pasta
C70,77,0.06,1397,57,M,2,I3,YES,grated cheese>herb & pepper>tomatoes>tomato sauce>corn
C71,150,0.24,1304,33,M,3,I4,YES,burgers>escalope>shallot
C72,156,0.23,781,22,M,1,I4,NO,cookies
C73,53,0.12,1428,59,M,0,I4,NO,yogurt cake
C74,51,0.14,1407,49,M,4,I4,YES,soup>eggs
C75,162,0.09,1062,53,F,2,I3,NO,cookies
C76,122,0.09,1096,32,M,1,I4,NO,mineral water>chocolate>low fat yogurt
C77,212,0.14,1807,41,M,2,I2,YES,eggs>strawberries
C78,142,0.19,1783,50,M,2,I2,NO,grated cheese>ground beef>spaghetti>mineral water>white wine
C79,51,0.14,885,59,F,3,I2,YES,mint
C80,86,0.18,1609,48,F,4,I3,YES,eggs>cake>french fries
C81,198,0,1395,41,M,4,I1,NO,burgers>spaghetti>milk>french fries>green tea
C82,104,0.16,2025,43,F,2,I1,NO,mineral water>energy bar>butter>french fries
C83,179,0.15,2234,49,M,1,I2,YES,burgers>grated cheese>herb & pepper>mineral water>eggs>cooking oil
C84,247,0.02,1940,38,M,4,I2,YES,energy bar
C85,239,0.17,889,26,M,2,I4,YES,energy bar>energy drink
C86,128,0.03,1086,36,F,0,I2,NO,chocolate>frozen smoothie
C87,122,0.07,2260,45,F,2,I4,YES,low fat yogurt
C88,138,0.03,640,58,M,0,I2,NO,asparagus>salad
C89,172,0.12,1323,38,F,2,I4,YES,burgers>french fries>low fat yogurt>green tea
C90,86,0.14,1172,50,F,4,I4,NO,low fat yogurt
C91,80,0.18,642,36,F,3,I4,YES,burgers>herb & pepper>shrimp>pasta>spaghetti>mineral water>meatballs>olive oil>energy bar>french wine>eggs>salt
C92,75,0.03,1303,44,F,2,I2,YES,champagne>low fat yogurt
C93,97,0.16,1795,47,F,4,I4,YES,champagne
C94,113,0.16,544,41,M,0,I3,YES,burgers>almonds>eggs>french fries>cookies>green tea
C95,227,0.1,797,53,F,1,I4,YES,ham>soup>escalope>body spray
C96,198,0.25,1614,29,M,1,I4,YES,turkey>ham>frozen vegetables>pepper>oil>extra dark chocolate>tea>magazines
C97,201,0.23,675,51,M,1,I2,YES,muffins>eggs>cookies
C98,127,0.03,2473,54,F,4,I1,NO,cookies
C99,66,0.02,1577,23,F,0,I3,NO,frozen vegetables>whole wheat pasta>ground beef>spaghetti>chocolate>green tea
C100,121,0.09,1612,56,F,0,I1,NO,mineral water>barbecue sauce>chocolate
C101,74,0.25,838,39,F,3,I4,YES,burgers>herb & pepper>energy bar>almonds>eggs>corn>mayonnaise>zucchini
C102,161,0.04,2085,54,F,2,I2,NO,turkey>burgers>ground beef>chocolate>soup>almonds>eggs>hot dogs>cottage cheese
C103,234,0.14,2464,23,M,2,I3,YES,ham>spaghetti>chocolate>eggs
C104,181,0.09,1729,52,F,3,I1,YES,ground beef>energy bar>pet food>carrots>protein bar
C105,148,0.02,1243,54,M,1,I1,NO,ground beef>tomato sauce>spaghetti>mineral water>almonds>eggs
C106,181,0.16,815,37,M,4,I2,NO,mineral water>olive oil>gums>cooking oil
C107,150,0.05,1072,50,M,4,I4,YES,shrimp>pasta>mineral water>soup>avocado>milk>olive oil>green grapes>eggs>bug spray
C108,211,0.02,2117,57,M,4,I3,YES,shrimp>pasta>soup>cake>cooking oil>chicken>light mayo>low fat yogurt
C109,134,0.09,1473,42,M,3,I4,NO,spaghetti>mineral water>chocolate>french fries>champagne>escalope>mushroom cream sauce>fresh bread
C110,150,0.06,1604,29,F,1,I4,NO,shrimp>pasta>mineral water>eggs
C111,101,0.25,863,59,F,3,I1,YES,burgers>oil>tomato juice>fresh bread
C112,103,0.14,547,30,F,1,I1,NO,french wine>eggs>chocolate>low fat yogurt
C113,127,0.16,2447,46,M,1,I2,YES,chicken>eggs>french fries>pancakes
C114,120,0.09,2046,26,M,3,I4,YES,turkey>herb & pepper>salmon>white wine>candy bars
C115,250,0.18,1107,32,M,2,I1,NO,grated cheese>spaghetti>olive oil>eggs>french fries>green tea
C116,153,0.23,1622,53,M,4,I2,YES,mineral water>energy bar
C117,195,0.02,1944,33,F,0,I4,YES,eggs>french fries
C118,213,0.06,1586,53,M,4,I4,YES,burgers>tomatoes>mineral water>soup>milk>almonds>eggs>chocolate>tomato juice
C119,137,0.15,1573,41,M,0,I4,NO,muffins
C120,210,0.01,2091,34,M,2,I1,YES,pasta
C121,219,0.15,1034,40,M,2,I2,NO,tomatoes>spaghetti>frozen smoothie
C122,141,0.15,787,59,F,2,I1,YES,ground beef>spaghetti>milk
C123,180,0.13,1445,57,F,1,I2,YES,french fries
C124,109,0.13,1423,30,M,2,I1,NO,chocolate>milk
C125,81,0.19,1175,46,M,3,I3,NO,burgers>shrimp>pasta>frozen vegetables>spaghetti>mineral water>milk>eggs>chocolate>french fries>pancakes>low fat yogurt
C126,136,0.07,909,60,M,1,I2,NO,ground beef>mineral water>antioxydant juice>protein bar
C127,104,0,2330,25,M,1,I1,NO,grated cheese>whole wheat pasta>ground beef>spaghetti>cake>energy drink
C128,137,0.15,660,42,M,2,I3,NO,grated cheese
C129,209,0.05,954,43,F,0,I3,YES,pancakes
C130,244,0.13,2428,41,M,0,I2,NO,frozen smoothie
C131,135,0.07,1896,33,F,1,I2,NO,carrots>green tea
C132,113,0.22,1999,36,F,3,I4,NO,chocolate
C133,146,0.1,2289,41,F,0,I3,NO,turkey>burgers>chocolate>olive oil>eggs>cooking oil>corn
C134,186,0.2,1504,56,F,2,I1,NO,frozen vegetables>tomatoes>pepper>spaghetti>mineral water>pancakes>chicken>chili>tea>french fries>tomato juice>fresh bread
C135,202,0.18,541,59,M,2,I3,NO,cookies
C136,133,0.02,908,44,F,2,I2,YES,ground beef
C137,92,0.09,1339,20,M,4,I2,NO,turkey>eggs>chocolate>frozen smoothie>tomato juice
C138,229,0.16,1929,24,F,4,I1,YES,frozen vegetables>cooking oil>mashed potato
C139,52,0.24,594,55,F,0,I1,NO,frozen vegetables>ground beef>tomato sauce>mineral water>meatballs>olive oil>light cream>tomato juice
C140,107,0.01,1574,56,M,2,I2,YES,red wine>spaghetti>mineral water>soup>milk>eggs>cake>gums>cooking oil>chocolate>frozen smoothie
C141,237,0.15,648,52,F,1,I2,NO,chocolate>tomatoes>spaghetti>mineral water>avocado>milk>olive oil>eggs>rice>french fries>brownies
C142,88,0.11,1047,54,F,3,I4,YES,chocolate>shrimp>pasta>frozen vegetables>ground beef>mineral water>nonfat milk>eggs
C143,87,0.13,2071,23,F,4,I3,NO,turkey>shrimp>pasta>pepper>spaghetti>mineral water>eggs>chicken>french fries
C144,128,0.21,1712,49,F,2,I2,YES,cookies
C145,92,0.17,2086,51,F,0,I2,NO,turkey>tomatoes>cake
C146,237,0.06,971,38,M,2,I4,YES,yams>mineral water>soup>milk>pancakes>whole wheat rice>barbecue sauce>carrots>chocolate>champagne
C147,106,0.17,2026,40,M,3,I2,YES,rice
C148,171,0.06,550,52,M,0,I1,YES,chocolate>milk
C149,55,0.13,1638,54,M,2,I4,YES,shrimp>pasta>frozen vegetables>water spray
C150,237,0.09,937,48,F,3,I2,YES,burgers>mineral water>milk>eggs>whole wheat rice>mint
C151,179,0.08,2035,53,F,3,I4,YES,mineral water>vegetables mix>cake>frozen smoothie>brownies
C152,172,0.16,867,20,F,2,I2,YES,cookies
C153,194,0.02,1819,37,F,2,I3,NO,shrimp>pasta>chicken>chocolate bread
C154,126,0.08,2017,21,M,3,I3,YES,shallot
C155,97,0.17,635,34,F,2,I4,YES,shrimp>pasta>spaghetti>eggs>hot dogs>green tea
C156,220,0.07,2471,43,M,2,I4,NO,burgers
C157,138,0.25,1920,49,F,2,I3,NO,red wine>ground beef>spaghetti>mineral water>milk>olive oil>strong cheese>light cream>cooking oil
C158,244,0.15,502,30,F,3,I3,YES,burgers>grated cheese>spaghetti>avocado>milk>oil>french fries
C159,167,0.22,1469,37,F,2,I1,YES,herb & pepper>whole wheat pasta>ground beef>mineral water>olive oil
C160,143,0.15,829,37,M,4,I1,YES,shrimp>pasta>yams>milk>chocolate
C161,108,0.16,902,56,M,0,I2,NO,butter>green tea
C162,178,0.05,1959,59,M,2,I4,YES,light mayo
C163,137,0.15,1257,24,F,0,I3,YES,low fat yogurt
C164,135,0.04,1964,31,M,2,I1,NO,herb & pepper>shrimp>pasta>spaghetti>milk
C165,206,0.01,2459,37,F,0,I2,YES,burgers>eggs
C166,130,0.15,1260,30,F,0,I4,YES,turkey>herb & pepper>ground beef>soup>avocado>milk>black tea>eggs>barbecue sauce>carrots>cookies>tomato juice>fresh bread
C167,186,0.08,2096,48,M,2,I4,YES,cookies
C168,155,0.11,1771,22,F,2,I2,NO,escalope
C169,188,0.23,2121,23,M,2,I3,YES,pepper>french fries>strawberries>pancakes>low fat yogurt
C170,118,0.16,1683,21,F,3,I1,YES,frozen vegetables>yams>chicken>honey>light mayo
C171,73,0.21,839,59,M,4,I2,YES,chocolate>champagne
C172,160,0.12,2039,58,M,3,I1,YES,herb & pepper>honey>cake>rice>protein bar
C173,128,0.22,1204,46,F,3,I4,NO,burgers>chocolate>frozen vegetables>ground beef>mineral water>milk>light mayo>asparagus
C174,86,0.17,1174,31,F,4,I3,NO,chocolate>mineral water>corn>cottage cheese>green tea
C175,117,0.12,1096,22,M,1,I1,NO,muffins
C176,129,0.2,1583,30,F,0,I4,YES,ham>french wine>escalope
C177,89,0.23,2317,52,M,2,I4,YES,spaghetti>milk>whole wheat rice>mint green tea
C178,140,0.24,1610,52,M,2,I3,YES,chocolate>body spray
C179,146,0.05,845,23,F,2,I2,YES,frozen vegetables>french fries>hot dogs
C180,188,0.18,2090,40,M,1,I2,YES,candy bars
C181,144,0.09,1921,41,M,3,I1,NO,burgers>shrimp>pasta>milk>green tea>french fries>cookies>white wine
C182,146,0.06,1208,29,M,4,I2,YES,parmesan cheese>ground beef
C183,156,0.09,1895,35,F,3,I3,NO,pancakes>whole wheat rice>candy bars
C184,73,0.16,2346,20,F,0,I1,YES,eggs>eggplant>cookies
C185,58,0.21,913,27,M,3,I3,YES,frozen vegetables>mineral water
C186,79,0.03,520,60,M,2,I1,YES,chocolate
C187,130,0.09,1234,55,F,4,I1,YES,turkey>spaghetti>milk>whole wheat rice>chocolate
C188,249,0.08,1753,58,F,3,I2,NO,whole wheat pasta>ground beef>spaghetti>soup>meatballs>chicken>blueberries>cooking oil>champagne>yogurt cake>protein bar
C189,81,0.13,1552,26,M,2,I4,NO,cooking oil>tomato juice
C190,74,0.21,2078,38,M,1,I2,NO,frozen vegetables>milk>eggs>french fries>green tea
C191,218,0.12,1819,60,M,2,I1,NO,fresh tuna>spaghetti>olive oil>french wine>eggs>french fries>champagne>pancakes>light mayo
C192,205,0.01,1730,54,M,3,I2,NO,red wine>honey>hot dogs
C193,175,0.24,985,46,F,3,I4,NO,milk>bacon>eggs>french fries>fresh bread
C194,131,0.1,1940,53,M,0,I2,NO,french fries>yogurt cake
C195,121,0.09,1261,27,F,0,I3,NO,milk
C196,60,0.24,1210,30,M,1,I4,NO,french fries
C197,95,0.06,1062,32,M,2,I2,NO,chocolate
C198,131,0.11,1120,21,F,0,I3,NO,burgers>ham>red wine
C199,182,0.23,1102,27,F,3,I2,NO,shrimp>pasta>tomatoes>energy bar>french wine>antioxydant juice>french fries>frozen smoothie>brownies
C200,185,0.05,2298,50,M,0,I3,NO,green tea
C201,142,0.1,1078,33,F,3,I4,NO,low fat yogurt
C202,103,0.06,1671,42,F,2,I2,NO,turkey>spaghetti>mineral water>soup>spinach>soda>energy drink>salt
C203,52,0.05,1599,25,M,4,I4,YES,turkey>eggs
C204,227,0.14,1106,44,F,0,I1,NO,bug spray>hot dogs
C205,91,0.18,657,34,M,0,I4,YES,oil
C206,74,0.21,1816,22,F,4,I2,NO,soup>energy bar>chicken>eggs>cake>french fries>body spray>strawberries
C207,149,0.01,2287,25,F,4,I1,YES,spaghetti>chocolate>yogurt cake
C208,58,0.01,747,35,M,0,I3,YES,turkey>mineral water>meatballs
C209,134,0.07,1695,33,F,4,I1,YES,ground beef>mineral water>chocolate>fromage blanc>bacon>hot dogs
C210,190,0.01,1174,20,F,1,I2,YES,frozen vegetables>mineral water>vegetables mix>escalope
C211,150,0.03,2016,39,M,2,I1,YES,herb & pepper>red wine>tomatoes
C212,145,0.21,1685,51,M,1,I2,YES,whole wheat pasta>olive oil>cereals>brownies>green tea
C213,184,0.24,1317,55,F,3,I4,NO,cookies
C214,159,0.08,1034,20,M,3,I2,NO,olive oil>cookies>mushroom cream sauce
C215,87,0.24,843,28,M,4,I1,NO,ground beef>pancakes>cooking oil>gluten free bar>light mayo
C216,187,0.21,856,60,F,4,I3,NO,mineral water>french fries
C217,174,0.13,1322,47,M,2,I2,NO,herb & pepper
C218,104,0.14,1696,37,F,1,I1,YES,salmon
C219,175,0.14,1373,23,F,3,I1,NO,eggs>escalope
C220,64,0.03,1481,32,M,0,I4,NO,mineral water>tomato juice
C221,176,0.25,1560,41,M,3,I1,YES,mineral water
C222,140,0.13,1230,36,M,1,I1,NO,shrimp>mineral water>soup>black tea
C223,182,0.21,806,53,F,4,I3,NO,cake>frozen smoothie
C224,164,0.01,600,30,M,3,I3,YES,turkey>burgers>grated cheese>tomatoes>chocolate>fromage blanc>honey>whole wheat rice
C225,52,0.21,2431,45,M,0,I2,NO,frozen vegetables>ground beef>mineral water>olive oil>pancakes
C226,157,0.01,662,26,M,1,I2,NO,turkey>burgers>ground beef>milk>olive oil>cake>fresh bread
C227,207,0.06,1562,50,M,1,I2,NO,whole wheat pasta>ground beef>spaghetti>yams>mineral water>soup>chutney>cereals>energy drink>protein bar
C228,95,0.22,2003,28,F,1,I2,YES,eggs>whole wheat rice>cake>green tea>escalope
C229,225,0.08,2482,59,M,0,I1,YES,ground beef>yams>soup>avocado>salmon>green tea
C230,160,0.04,1545,43,F,2,I1,YES,milk
C231,196,0.06,1071,50,M,0,I4,NO,spaghetti>chocolate
C232,207,0.14,1319,38,F,2,I3,NO,whole wheat pasta>honey
C233,104,0.15,1293,48,M,0,I1,NO,whole wheat pasta>green tea
C234,78,0.07,2230,24,M,0,I3,NO,spaghetti>meatballs>vegetables mix>chocolate
C235,236,0.13,1594,34,F,3,I4,NO,eggs>low fat yogurt
C236,55,0.08,1766,58,F,4,I2,NO,fresh tuna>shrimp>pasta>mineral water>olive oil>eggs>cake>brownies>tomato juice
C237,75,0.05,998,34,F,2,I1,YES,mineral water>green grapes>hot dogs>fresh bread
C238,161,0.21,1975,38,F,3,I2,YES,frozen vegetables>meatballs>eggs>chocolate
C239,224,0.05,1317,60,F,3,I2,YES,chocolate
C240,234,0.13,1469,23,F,3,I2,YES,meatballs>milk
C241,194,0.06,1372,21,M,0,I2,NO,low fat yogurt
C242,124,0.04,1628,30,M,2,I2,YES,green tea
C243,94,0.08,2372,55,F,0,I4,YES,escalope>pasta
C244,219,0.14,2497,36,M,3,I4,YES,pepper>chocolate>olive oil>french wine>salmon>rice>light mayo>fresh bread>magazines
C245,229,0.01,1426,24,M,1,I3,NO,red wine>french wine>vegetables mix>rice>clothes accessories>hot dogs>green tea
C246,112,0.15,1416,27,M,1,I3,YES,burgers>dessert wine>spaghetti>chicken>cake>protein bar>green tea
C247,216,0.06,1342,33,M,1,I1,YES,french wine>cake>fresh bread
C248,153,0.13,554,25,M,3,I4,YES,burgers>frozen vegetables>flax seed>eggs
C249,218,0.07,2251,34,F,3,I3,YES,red wine
C250,220,0.03,1045,23,M,3,I1,YES,pepper>mineral water>energy bar>green grapes
C251,207,0.1,1390,46,M,4,I2,NO,milk>eggs>cake>chocolate>french fries>green tea
C252,226,0.07,2342,49,M,3,I3,YES,french fries
C253,90,0.02,1185,56,M,4,I2,NO,almonds
C254,169,0.02,501,54,M,4,I3,NO,burgers>mineral water>green tea
C255,219,0.22,1452,54,F,4,I3,NO,milk>pancakes
C256,79,0.15,1302,23,F,2,I1,YES,pancakes>eggs>salt>tomato juice
C257,120,0.04,687,48,F,1,I3,NO,mineral water
C258,142,0.24,1301,56,M,4,I1,NO,ham>spaghetti>mineral water>olive oil
C259,156,0.21,2111,45,F,2,I3,NO,salt>tomato juice>fresh bread
C260,250,0.17,1191,27,M,0,I3,NO,spaghetti>mushroom cream sauce
C261,110,0.02,1082,29,F,4,I2,NO,spaghetti>mineral water>eggs>pet food
C262,89,0.22,1381,59,M,1,I3,NO,frozen vegetables>spaghetti
C263,236,0.2,1399,49,F,2,I3,NO,energy drink
C264,210,0.2,1674,50,F,1,I2,YES,muffins
C265,161,0.01,1278,38,M,3,I1,YES,turkey>milk
C266,200,0.16,2154,57,F,1,I2,YES,cookies
C267,235,0.2,594,21,M,1,I1,YES,chocolate
C268,130,0.02,1164,37,M,0,I4,NO,spaghetti>mineral water>eggs>cooking oil>chocolate>escalope
C269,234,0.21,1006,36,M,2,I4,NO,shrimp>frozen vegetables>pepper>spaghetti>green tea
C270,218,0.17,1848,52,F,3,I2,YES,burgers>fresh tuna>red wine>mineral water>french fries>hand protein bar>low fat yogurt
C271,224,0.08,640,27,F,1,I4,NO,pancakes>eggs>energy drink>fresh bread
C272,163,0.14,1583,25,F,1,I1,YES,strong cheese>salmon>green tea>french fries>frozen smoothie>hot dogs
C273,125,0.2,971,23,F,3,I4,NO,grated cheese>shrimp>pasta>tomatoes>milk>frozen smoothie>sandwich
C274,216,0.1,2456,21,M,0,I2,NO,herb & pepper>whole wheat pasta>olive oil>pancakes>eggs
C275,135,0.18,667,20,M,3,I2,YES,spaghetti>antioxydant juice
C276,126,0.24,1872,25,M,2,I3,YES,chocolate>milk>almonds>eggs>strawberries>white wine
C277,121,0.16,832,48,M,1,I2,NO,french fries>strawberries
C278,230,0.23,775,57,F,4,I1,YES,mineral water
C279,221,0.02,1318,41,F,4,I2,NO,eggs
C280,211,0.12,1437,52,M,0,I2,NO,escalope
C281,70,0.19,1912,53,F,1,I2,NO,cake
C282,63,0.18,2200,22,M,3,I1,YES,whole wheat pasta>antioxydant juice>body spray>green tea
C283,124,0.07,2082,46,M,1,I2,YES,mineral water>oil>frozen smoothie
C284,178,0.09,2018,30,F,1,I2,NO,french fries>champagne
C285,248,0.12,2396,56,F,1,I4,YES,chocolate>french fries
C286,141,0.24,1027,55,F,0,I4,NO,frozen vegetables>spaghetti>eggs
C287,153,0.22,1358,43,F,1,I1,NO,hot dogs
C288,95,0.19,1708,39,F,1,I4,YES,chocolate>cookies
C289,158,0.06,2032,29,F,3,I2,NO,pancakes
C290,130,0.25,510,53,M,0,I4,YES,shrimp>butter>chicken>salmon
C291,242,0.07,2228,55,M,0,I2,NO,chocolate>cookies>babies food
C292,197,0.24,2412,50,F,2,I1,YES,pepper>spaghetti>cake>chocolate>french fries>fresh bread
C293,128,0.23,1173,50,M,2,I1,NO,avocado>oil>cereals>french fries
C294,183,0.16,1313,54,F,2,I1,YES,herb & pepper>spaghetti>mineral water>spinach>eggs>oil>cooking oil>green tea>shampoo>tomato juice>low fat yogurt
C295,216,0.2,2399,49,F,2,I2,YES,herb & pepper>frozen vegetables>ground beef>pepper>spaghetti>mint green tea>french fries
C296,101,0.21,1884,52,F,0,I1,YES,french fries
C297,228,0.05,2491,22,F,3,I4,NO,green tea>tomato juice
C298,101,0.14,2164,22,F,4,I2,NO,eggs>whole wheat rice>chocolate
C299,151,0.16,584,30,F,3,I1,YES,grated cheese>herb & pepper>red wine>spaghetti>mineral water>salmon>eggs>cooking oil>green tea
C300,203,0.13,1353,46,F,4,I2,YES,french fries>cookies>shallot>tomato juice>fresh bread>low fat yogurt
C301,182,0.1,771,37,F,4,I4,NO,burgers>fresh tuna>spaghetti>muffins>honey
C302,152,0.24,1665,50,F,2,I4,YES,herb & pepper>ground beef>spaghetti>eggs>chicken
C303,159,0,715,34,F,2,I3,NO,grated cheese>muffins>tomato juice>mayonnaise
C304,162,0.14,756,31,F,4,I1,NO,whole wheat pasta>yams>mineral water>muffins>frozen smoothie>hot dogs>energy drink
C305,201,0.05,1619,57,M,4,I1,YES,burgers>spaghetti>soup>milk>olive oil>salmon>eggs>blueberries
C306,95,0.03,655,38,F,3,I2,YES,chocolate>champagne>magazines
C307,187,0.02,1264,39,F,2,I4,NO,frozen vegetables>spaghetti>yams>mineral water>french wine>green grapes>rice>chocolate
C308,91,0.04,839,21,F,4,I1,NO,tomato sauce>chocolate
C309,106,0.06,602,49,F,0,I4,YES,milk>eggs
C310,77,0.14,2412,56,M,4,I1,YES,pet food
C311,231,0.06,2281,34,M,4,I3,YES,yogurt cake
C312,64,0.03,831,21,M,3,I3,NO,green tea
C313,216,0.07,1640,55,F,3,I4,YES,escalope>pasta
C314,107,0.09,573,43,F,4,I1,NO,herb & pepper>ground beef
C315,94,0.16,2324,58,M,4,I3,NO,mineral water>honey>brownies
C316,144,0,590,33,F,3,I1,NO,turkey>eggs>cake>energy drink
C317,247,0.19,594,57,M,1,I1,YES,turkey>burgers>dessert wine>ground beef>soup>salmon>eggs>gums>tomato juice>candy bars
C318,164,0.03,1218,39,F,1,I4,NO,spaghetti>mineral water>chicken
C319,56,0.19,977,34,M,0,I2,YES,turkey>ground beef>carrots>french fries>melons
C320,220,0.24,1203,35,F,1,I1,YES,mineral water>eggs>low fat yogurt
C321,165,0.04,2420,44,M,4,I1,YES,turkey>cooking oil>shampoo
C322,203,0.2,1569,51,F,3,I1,NO,spaghetti>hot dogs
C323,86,0.2,1998,56,F,0,I2,YES,chocolate>green tea
C324,136,0.15,583,31,F,2,I1,NO,grated cheese>pepper>mineral water>chocolate>eggs>cake>mashed potato>tomato juice
C325,143,0.12,2415,23,M,2,I3,NO,chocolate
C326,86,0.14,1961,28,M,1,I2,NO,spaghetti>olive oil>strong cheese>pancakes
C327,154,0.18,2485,45,F,1,I2,YES,red wine>mineral water>soup>rice>cookies
